brand,model,source_type,url,source_domain,research_rank,research_confidence,http_status,final_url,content_hash,content_type,fetched_at,source_validation,extraction_status,queue_reason
BMW,i4,manufacturer_configurator,https://hitta.bmw.se/r/G26-i4,bmw.se,22,high,200,https://hitta.bmw.se/r/G26-i4,b41e26c423e852131d4698e488403810d2dc9635747376b51cc7b1c216db5b16,text/html; charset=utf-8,2026-05-15T17:50:34.997819+00:00,reachable_official_model_source,queued,best_reachable_official_source_for_model
BMW,i5,manufacturer_configurator,https://hitta.bmw.se/r/G60-i5,bmw.se,23,medium,200,https://hitta.bmw.se/r/G60-i5,ff3f0eaf8964f7658c4413c58113b8b9a7cb5886eb538802b3be60766258b316,text/html; charset=utf-8,2026-05-15T17:51:01.185960+00:00,reachable_official_model_source,queued,best_reachable_official_source_for_model
Volkswagen,ID.3,manufacturer_model_page,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id3.html,volkswagen.se,24,medium,200,https://www.volkswagen.se/sv/modeller/id3.html,dfd700af8e561423968ef5a2650589daea02f6747d553259f1df96d82c26a974,text/html;charset=utf-8,2026-05-15T17:51:02.066921+00:00,reachable_official_model_source,queued,best_reachable_official_source_for_model
Ford,Explorer,manufacturer_price_list,https://ford.se/brochures_and_pricelists/31,ford.se,25,high,200,https://ford.se/brochures_and_pricelists/31,10952e6dd035df824a9488cc858087de3c8f65679dd85d2defbf64863ee6dbc1,text/html; charset=utf-8,2026-05-15T17:51:02.635415+00:00,reachable_official_model_source,queued,best_reachable_official_source_for_model
Cupra,Born,manufacturer_model_page,https://www.cupraofficial.se/bilar/born,cupraofficial.se,26,high,200,https://www.cupraofficial.se/bilar/born,bfd710f5388e42d961bb3b807080a5bdd9ef3e0efb1f9e45f6968f4fa5616495,text/html;charset=utf-8,2026-05-15T17:51:04.863561+00:00,reachable_official_model_source,queued,best_reachable_official_source_for_model
Zeekr,7X,manufacturer_model_page,https://www.zeekr.eu/sv-se/models/7x,zeekr.eu,27,medium,200,https://www.zeekr.eu/sv-se/models/7x,18f53ac944bf343cb9f4463131a843ab6e23ce5481fd3f99c0fdc136d94d5caa,text/html; charset=utf-8,2026-05-15T17:51:06.243916+00:00,reachable_official_model_source,queued,best_reachable_official_source_for_model
Kia,EV4,manufacturer_price_list,https://www.kia.com/se/kopa/prislista/,kia.com,29,high,200,https://www.kia.com/se/kopa/prislista/,dcf6b34e5de45d4dfffce96ee3e032caca87aac5370c0e36b18506d196370d56,text/html; charset=UTF-8,2026-05-15T17:51:07.736858+00:00,reachable_official_model_source,queued,best_reachable_official_source_for_model
Polestar,2,manufacturer_specs_page,https://www.polestar.com/se/polestar-2/specifications/,polestar.com,30,high,200,https://www.polestar.com/se/polestar-2/specifications/,564ad86a72d1cedd54252d8fd6bc85a0969deaa673cfd3f66152cb6c6017eb13,text/html,2026-05-15T17:51:11.365369+00:00,reachable_official_model_source,queued,best_reachable_official_source_for_model
Mazda,6e,manufacturer_specs_page,https://www.mazda.se/modeller/mazda-6e/specifikationer-och-jamforelser/,mazda.se,32,high,200,https://www.mazda.se/modeller/mazda-6e/specifikationer-och-jamforelser/,9d6e18d3cf2255f9baa57f29ebaa95cf1e55e3115451aa739d441b9bc727e5d4,text/html; charset=utf-8,2026-05-15T17:51:14.178849+00:00,reachable_official_model_source,queued,best_reachable_official_source_for_model
Skoda,Elroq,manufacturer_model_page,https://www.skoda.se/modeller/elroq/,skoda.se,33,medium,200,https://www.skoda.se/modeller/elroq/elroq,d27eb952d4264fd9baa394a381985b1b7439a81122a37329a2c40665e0afd337,text/html; charset=utf-8,2026-05-15T17:51:18.666686+00:00,reachable_official_model_source,queued,best_reachable_official_source_for_model
