brand_raw,model_raw,normalized_brand,normalized_model,alias_rule,model_group,needs_mapping,confidence
BMW,IX2,bmw,ix2,mobility_sweden_exact_raw_name,,False,1.0
XPENG,G9,xpeng,g9,mobility_sweden_exact_raw_name,,False,1.0
HYUNDAI,INSTER,hyundai,inster,mobility_sweden_exact_raw_name,,False,1.0
MERCEDES,GLB,mercedes benz,glb,mobility_sweden_exact_raw_name,,False,1.0
FORD,CAPRI,ford,capri,mobility_sweden_exact_raw_name,,False,1.0
CUPRA,TAVASCAN,cupra,tavascan,mobility_sweden_exact_raw_name,,False,1.0
MINI,ACEMAN,mini,aceman,mobility_sweden_exact_raw_name,,False,1.0
MINI,HATCH,mini,hatch,mobility_sweden_exact_raw_name,,False,1.0
HYUNDAI,IONIQ 9,hyundai,ioniq 9,mobility_sweden_exact_raw_name,,False,1.0
OPEL,CORSA,opel,corsa,mobility_sweden_exact_raw_name,,False,1.0
HYUNDAI,IONIQ 5,hyundai,ioniq 5,mobility_sweden_exact_raw_name,,False,1.0
NISSAN,MICRA,nissan,micra,mobility_sweden_exact_raw_name,,False,1.0
NISSAN,ARIYA,nissan,ariya,mobility_sweden_exact_raw_name,,False,1.0
KIA,PV5 PASSENGER,kia,pv5 passenger,mobility_sweden_exact_raw_name,,False,1.0
FORD,PUMA,ford,puma,mobility_sweden_exact_raw_name,,False,1.0
MERCEDES,EQS,mercedes benz,eqs,mobility_sweden_exact_raw_name,,False,1.0
ZEEKR,001,zeekr,001,mobility_sweden_exact_raw_name,,False,1.0
LYNK & CO,02,lynk and co,02,mobility_sweden_exact_raw_name,,False,1.0
PEUGEOT,5008,peugeot,5008,mobility_sweden_exact_raw_name,,False,1.0
PEUGEOT,3008,peugeot,3008,mobility_sweden_exact_raw_name,,False,1.0
CITROEN,C3 AIRCROSS,citroen,c3 aircross,mobility_sweden_exact_raw_name,,False,1.0
HYUNDAI,KONA,hyundai,kona,mobility_sweden_exact_raw_name,,False,1.0
BYD,SEALION,byd,sealion,mobility_sweden_exact_raw_name,,False,1.0
MG,S5 EV,mg,s5 ev,mobility_sweden_exact_raw_name,,False,1.0
OPEL,FRONTERA,opel,frontera,mobility_sweden_exact_raw_name,,False,1.0
PORSCHE,TAYCAN,porsche,taycan,mobility_sweden_exact_raw_name,,False,1.0
ALFA,ROMEO JUNIOR,alfa,romeo junior,mobility_sweden_exact_raw_name,,False,1.0
POLESTAR,5,polestar,5,mobility_sweden_exact_raw_name,,False,1.0
LEAPMOTOR,B10,leapmotor,b10,mobility_sweden_exact_raw_name,,False,1.0
BYD,ATTO 2,byd,atto 2,mobility_sweden_exact_raw_name,,False,1.0
SMART,#1,smart,1,mobility_sweden_exact_raw_name,,False,1.0
BYD,ATTO 3,byd,atto 3,mobility_sweden_exact_raw_name,,False,1.0
PEUGEOT,EXPERT,peugeot,expert,mobility_sweden_exact_raw_name,,False,1.0
MERCEDES,G WAGON,mercedes benz,g wagon,mobility_sweden_exact_raw_name,,False,1.0
PEUGEOT,208,peugeot,208,mobility_sweden_exact_raw_name,,False,1.0
BYD,DOLPHIN,byd,dolphin,mobility_sweden_exact_raw_name,,False,1.0
SMART,#5,smart,5,mobility_sweden_exact_raw_name,,False,1.0
PEUGEOT,2008,peugeot,2008,mobility_sweden_exact_raw_name,,False,1.0
FIAT,600,fiat,600,mobility_sweden_exact_raw_name,,False,1.0
